Date,Time,TimeDiff
22/Apr/08,09:52:59,28
22/Apr/08,09:53:27,26
22/Apr/08,09:53:53,27
22/Apr/08,09:54:20,27
22/Apr/08,09:54:47,27
22/Apr/08,09:55:14,26
22/Apr/08,09:55:40,27
22/Apr/08,09:56:07,28
22/Apr/08,09:56:35,29
22/Apr/08,09:57:04,25
22/Apr/08,09:57:29,29
22/Apr/08,09:57:58,25
22/Apr/08,09:58:23,27
22/Apr/08,09:58:50,27
22/Apr/08,09:59:17,28
22/Apr/08,09:59:45,27
22/Apr/08,10:00:12,26
22/Apr/08,10:00:38,97
22/Apr/08,10:02:15,27
22/Apr/08,10:02:42,26
22/Apr/08,10:03:08,28
22/Apr/08,10:03:36,26
22/Apr/08,10:04:02,27
22/Apr/08,10:04:29,27
22/Apr/08,10:04:56,27
22/Apr/08,10:05:23,27
22/Apr/08,10:05:50,27
22/Apr/08,10:06:17,26
22/Apr/08,10:06:43,26
22/Apr/08,10:07:09,27
22/Apr/08,10:07:36,26
22/Apr/08,10:08:02,352
22/Apr/08,10:13:54,27
22/Apr/08,10:14:21,26
22/Apr/08,10:14:47,27
22/Apr/08,10:15:14,27
22/Apr/08,10:15:41,28
22/Apr/08,10:16:09,26
22/Apr/08,10:16:35,27
22/Apr/08,10:17:02,27
22/Apr/08,10:17:29,27
22/Apr/08,10:17:56,26
22/Apr/08,10:18:22,28
22/Apr/08,10:18:50,26
22/Apr/08,10:19:16,27
22/Apr/08,10:19:43,27
22/Apr/08,10:20:10,27
22/Apr/08,10:20:37,26
22/Apr/08,10:21:03,28
22/Apr/08,10:21:31,26
22/Apr/08,10:21:57,28
22/Apr/08,10:22:25,28
22/Apr/08,10:22:53,33
22/Apr/08,10:23:26,27
22/Apr/08,10:23:53,27
22/Apr/08,10:24:20,27
22/Apr/08,10:24:47,26
22/Apr/08,10:25:13,28
22/Apr/08,10:25:41,26
22/Apr/08,10:26:07,27
22/Apr/08,10:26:34,28
22/Apr/08,10:27:02,26
22/Apr/08,10:27:28,27
22/Apr/08,10:27:55,26
22/Apr/08,10:28:21,27
22/Apr/08,10:28:48,27
22/Apr/08,10:29:15,28
22/Apr/08,10:29:43,25
22/Apr/08,10:30:08,28
22/Apr/08,10:30:36,27
22/Apr/08,10:31:03,28
22/Apr/08,10:31:31,26
22/Apr/08,10:31:57,32
22/Apr/08,10:32:29,26
22/Apr/08,10:32:55,28
22/Apr/08,10:33:23,26
22/Apr/08,10:33:49,28
22/Apr/08,10:34:17,26
22/Apr/08,10:34:43,28
22/Apr/08,10:35:11,26
22/Apr/08,10:35:37,28
22/Apr/08,10:36:05,26
22/Apr/08,10:36:31,27
22/Apr/08,10:36:58,27
22/Apr/08,10:37:25,27
22/Apr/08,10:37:52,27
22/Apr/08,10:38:19,26
22/Apr/08,10:38:45,27
22/Apr/08,10:39:12,28
22/Apr/08,10:39:40,26
22/Apr/08,10:40:06,27
22/Apr/08,10:40:33,27
22/Apr/08,10:41:00,27
22/Apr/08,10:41:27,26
22/Apr/08,10:41:53,28
22/Apr/08,10:42:21,27
22/Apr/08,10:42:48,27
22/Apr/08,10:43:15,26
22/Apr/08,10:43:41,27
22/Apr/08,10:44:08,344
22/Apr/08,10:49:52,28
22/Apr/08,10:50:20,26
22/Apr/08,10:50:46,28
22/Apr/08,10:51:14,53
22/Apr/08,10:52:07,27
22/Apr/08,10:52:34,26
22/Apr/08,10:53:00,27
22/Apr/08,10:53:27,27
22/Apr/08,10:53:54,27
22/Apr/08,10:54:21,26
22/Apr/08,10:54:47,27
22/Apr/08,10:55:14,27
22/Apr/08,10:55:41,28
22/Apr/08,10:56:09,26
22/Apr/08,10:56:35,27
22/Apr/08,10:57:02,26
22/Apr/08,10:57:28,28
22/Apr/08,10:57:56,26
22/Apr/08,10:58:22,27
22/Apr/08,10:58:49,26
22/Apr/08,10:59:15,30
22/Apr/08,10:59:45,26
22/Apr/08,11:00:11,29
22/Apr/08,11:00:40,26
22/Apr/08,11:01:06,27
22/Apr/08,11:01:33,27
22/Apr/08,11:02:00,28
22/Apr/08,11:02:28,25
22/Apr/08,11:02:53,29
22/Apr/08,11:03:22,26
22/Apr/08,11:03:48,27
22/Apr/08,11:04:15,27
22/Apr/08,11:04:42,27
22/Apr/08,11:05:09,27
22/Apr/08,11:05:36,26
22/Apr/08,11:06:02,26
22/Apr/08,11:06:28,28
22/Apr/08,11:06:56,27
22/Apr/08,11:07:23,27
22/Apr/08,11:07:50,27
22/Apr/08,11:08:17,26
22/Apr/08,11:08:43,26
22/Apr/08,11:09:09,27
22/Apr/08,11:09:36,5435
22/Apr/08,12:40:11,27
22/Apr/08,12:40:38,26
22/Apr/08,12:41:04,28
22/Apr/08,12:41:32,27
22/Apr/08,12:41:59,27
22/Apr/08,12:42:26,25
22/Apr/08,12:42:51,29
22/Apr/08,12:43:20,26
22/Apr/08,12:43:46,27
22/Apr/08,12:44:13,27
22/Apr/08,12:44:40,26
22/Apr/08,12:45:06,27
22/Apr/08,12:45:33,27
22/Apr/08,12:46:00,27
22/Apr/08,12:46:27,27
22/Apr/08,12:46:54,27
22/Apr/08,12:47:21,26
22/Apr/08,12:47:47,29
22/Apr/08,12:48:16,27
22/Apr/08,12:48:43,27
22/Apr/08,12:49:10,27
22/Apr/08,12:49:37,26
22/Apr/08,12:50:03,27
22/Apr/08,12:50:30,27
22/Apr/08,12:50:57,27
22/Apr/08,12:51:24,26
22/Apr/08,12:51:50,29
22/Apr/08,12:52:19,27
22/Apr/08,12:52:46,27
22/Apr/08,12:53:13,26
22/Apr/08,12:53:39,29
22/Apr/08,12:54:08,27
22/Apr/08,12:54:35,27
22/Apr/08,12:55:02,27
22/Apr/08,12:55:29,28
22/Apr/08,12:55:57,32
22/Apr/08,12:56:29,28
22/Apr/08,12:56:57,26
22/Apr/08,12:57:23,27
22/Apr/08,12:57:50,27
22/Apr/08,12:58:17,27
22/Apr/08,12:58:44,27
22/Apr/08,12:59:11,27
22/Apr/08,12:59:38,26
22/Apr/08,13:00:04,26
22/Apr/08,13:00:30,27
22/Apr/08,13:00:57,29
22/Apr/08,13:01:26,25
22/Apr/08,13:01:51,28
22/Apr/08,13:02:19,27
22/Apr/08,13:02:46,27
22/Apr/08,13:03:13,27
22/Apr/08,13:03:40,26
22/Apr/08,13:04:06,27
22/Apr/08,13:04:33,27
22/Apr/08,13:05:00,133
22/Apr/08,13:07:13,27
22/Apr/08,13:07:40,27
22/Apr/08,13:08:07,28
22/Apr/08,13:08:35,26
22/Apr/08,13:09:01,27
22/Apr/08,13:09:28,28
22/Apr/08,13:09:56,27
22/Apr/08,13:10:23,26
22/Apr/08,13:10:49,28
22/Apr/08,13:11:17,28
22/Apr/08,13:11:45,28
22/Apr/08,13:12:13,26
22/Apr/08,13:12:39,27
22/Apr/08,13:13:06,27
22/Apr/08,13:13:33,26
22/Apr/08,13:13:59,27
22/Apr/08,13:14:26,27
22/Apr/08,13:14:53,27
22/Apr/08,13:15:20,27
22/Apr/08,13:15:47,26
22/Apr/08,13:16:13,27
22/Apr/08,13:16:40,27
22/Apr/08,13:17:07,27
22/Apr/08,13:17:34,27
22/Apr/08,13:18:01,28
22/Apr/08,13:18:29,25
22/Apr/08,13:18:54,30
22/Apr/08,13:19:24,27
22/Apr/08,13:19:51,28
22/Apr/08,13:20:19,25
22/Apr/08,13:20:44,27
22/Apr/08,13:21:11,27
22/Apr/08,13:21:38,30
22/Apr/08,13:22:08,25
22/Apr/08,13:22:33,29
22/Apr/08,13:23:02,26
22/Apr/08,13:23:28,27
22/Apr/08,13:23:55,26
22/Apr/08,13:24:21,27
22/Apr/08,13:24:48,27
22/Apr/08,13:25:15,27
22/Apr/08,13:25:42,26
22/Apr/08,13:26:08,28
22/Apr/08,13:26:36,27
22/Apr/08,13:27:03,27
22/Apr/08,13:27:30,26
22/Apr/08,13:27:56,27
22/Apr/08,13:28:23,27
22/Apr/08,13:28:50,28
22/Apr/08,13:29:18,25
22/Apr/08,13:29:43,28
22/Apr/08,13:30:11,27
22/Apr/08,13:30:38,25
22/Apr/08,13:31:03,26
22/Apr/08,13:31:29,28
22/Apr/08,13:31:57,345
22/Apr/08,13:37:42,27
22/Apr/08,13:38:09,27
22/Apr/08,13:38:36,27
22/Apr/08,13:39:03,27
22/Apr/08,13:39:30,27
22/Apr/08,13:39:57,26
22/Apr/08,13:40:23,27
22/Apr/08,13:40:50,27
22/Apr/08,13:41:17,27
22/Apr/08,13:41:44,28
22/Apr/08,13:42:12,27
22/Apr/08,13:42:39,27
22/Apr/08,13:43:06,26
22/Apr/08,13:43:32,29
22/Apr/08,13:44:01,27
22/Apr/08,13:44:28,27
22/Apr/08,13:44:55,27
22/Apr/08,13:45:22,28
22/Apr/08,13:45:50,27
22/Apr/08,13:46:17,29
22/Apr/08,13:46:46,27
22/Apr/08,13:47:13,26
22/Apr/08,13:47:39,28
22/Apr/08,13:48:07,26
22/Apr/08,13:48:33,27
22/Apr/08,13:49:00,27
22/Apr/08,13:49:27,26
22/Apr/08,13:49:53,27
22/Apr/08,13:50:20,28
22/Apr/08,13:50:48,27
22/Apr/08,13:51:15,26
22/Apr/08,13:51:41,26
22/Apr/08,13:52:07,28
22/Apr/08,13:52:35,27
22/Apr/08,13:53:02,28
22/Apr/08,13:53:30,25
22/Apr/08,13:53:55,27
22/Apr/08,13:54:22,27
22/Apr/08,13:54:49,26
22/Apr/08,13:55:15,246
22/Apr/08,13:59:21,27
22/Apr/08,13:59:48,26
22/Apr/08,14:00:14,28
22/Apr/08,14:00:42,26
22/Apr/08,14:01:08,28
22/Apr/08,14:01:36,27
22/Apr/08,14:02:03,27
22/Apr/08,14:02:30,28
22/Apr/08,14:02:58,27
22/Apr/08,14:03:25,27
22/Apr/08,14:03:52,28
22/Apr/08,14:04:20,26
22/Apr/08,14:04:46,27
22/Apr/08,14:05:13,26
22/Apr/08,14:05:39,27
22/Apr/08,14:06:06,27
22/Apr/08,14:06:33,27
22/Apr/08,14:07:00,29
22/Apr/08,14:07:29,26
22/Apr/08,14:07:55,27
22/Apr/08,14:08:22,28
22/Apr/08,14:08:50,26
22/Apr/08,14:09:16,27
22/Apr/08,14:09:43,27
22/Apr/08,14:10:10,27
22/Apr/08,14:10:37,26
22/Apr/08,14:11:03,29
22/Apr/08,14:11:32,27
22/Apr/08,14:11:59,94
22/Apr/08,14:13:33,26
22/Apr/08,14:13:59,27
22/Apr/08,14:14:26,27
22/Apr/08,14:14:53,27
22/Apr/08,14:15:20,27
22/Apr/08,14:15:47,27
22/Apr/08,14:16:14,26
22/Apr/08,14:16:40,28
22/Apr/08,14:17:08,26
22/Apr/08,14:17:34,26
22/Apr/08,14:18:00,28
22/Apr/08,14:18:28,26
22/Apr/08,14:18:54,27
22/Apr/08,14:19:21,28
22/Apr/08,14:19:49,25
22/Apr/08,14:20:14,27
22/Apr/08,14:20:41,28
22/Apr/08,14:21:09,28
22/Apr/08,14:21:37,27
22/Apr/08,14:22:04,27
22/Apr/08,14:22:31,26
22/Apr/08,14:22:57,27
22/Apr/08,14:23:24,27
22/Apr/08,14:23:51,27
22/Apr/08,14:24:18,26
22/Apr/08,14:24:44,28
22/Apr/08,14:25:12,26
22/Apr/08,14:25:38,28
22/Apr/08,14:26:06,27
22/Apr/08,14:26:33,27
22/Apr/08,14:27:00,26
22/Apr/08,14:27:26,28
22/Apr/08,14:27:54,26
22/Apr/08,14:28:20,28
22/Apr/08,14:28:48,27
22/Apr/08,14:29:15,28
22/Apr/08,14:29:43,26
22/Apr/08,14:30:09,27
22/Apr/08,14:30:36,27
22/Apr/08,14:31:03,29
22/Apr/08,14:31:32,26
22/Apr/08,14:31:58,27
22/Apr/08,14:32:25,974
22/Apr/08,14:48:39,26
22/Apr/08,14:49:05,27
22/Apr/08,14:49:32,27
22/Apr/08,14:49:59,27
22/Apr/08,14:50:26,28
22/Apr/08,14:50:54,27
22/Apr/08,14:51:21,27
22/Apr/08,14:51:48,261
22/Apr/08,14:56:09,27
22/Apr/08,14:56:36,27
22/Apr/08,14:57:03,27
22/Apr/08,14:57:30,27
22/Apr/08,14:57:57,26
22/Apr/08,14:58:23,27
22/Apr/08,14:58:50,27
22/Apr/08,14:59:17,27
22/Apr/08,14:59:44,27
22/Apr/08,15:00:11,26
22/Apr/08,15:00:37,28
22/Apr/08,15:01:05,27
22/Apr/08,15:01:32,27
22/Apr/08,15:01:59,27
22/Apr/08,15:02:26,26
22/Apr/08,15:02:52,27
22/Apr/08,15:03:19,27
22/Apr/08,15:03:46,27
22/Apr/08,15:04:13,27
22/Apr/08,15:04:40,26
22/Apr/08,15:05:06,28
22/Apr/08,15:05:34,26
22/Apr/08,15:06:00,27
22/Apr/08,15:06:27,27
22/Apr/08,15:06:54,29
22/Apr/08,15:07:23,26
22/Apr/08,15:07:49,28
22/Apr/08,15:08:17,26
22/Apr/08,15:08:43,27
22/Apr/08,15:09:10,27
22/Apr/08,15:09:37,26
22/Apr/08,15:10:03,26
22/Apr/08,15:10:29,1638
22/Apr/08,15:37:47,55
22/Apr/08,15:38:42,977
22/Apr/08,15:54:59,53
22/Apr/08,15:55:52,27
22/Apr/08,15:56:19,26
22/Apr/08,15:56:45,28
22/Apr/08,15:57:13,26
22/Apr/08,15:57:39,27
22/Apr/08,15:58:06,26
22/Apr/08,15:58:32,27
22/Apr/08,15:58:59,25
22/Apr/08,15:59:24,301
22/Apr/08,16:04:25,27
22/Apr/08,16:04:52,27
22/Apr/08,16:05:19,27
22/Apr/08,16:05:46,27
22/Apr/08,16:06:13,27
22/Apr/08,16:06:40,27
22/Apr/08,16:07:07,52
22/Apr/08,16:07:59,27
22/Apr/08,16:08:26,27
22/Apr/08,16:08:53,27
22/Apr/08,16:09:20,26
22/Apr/08,16:09:46,26
22/Apr/08,16:10:12,27
22/Apr/08,16:10:39,27
22/Apr/08,16:11:06,403
22/Apr/08,16:17:49,27
22/Apr/08,16:18:16,27
22/Apr/08,16:18:43,27
22/Apr/08,16:19:10,27
22/Apr/08,16:19:37,26
22/Apr/08,16:20:03,27
22/Apr/08,16:20:30,27
22/Apr/08,16:20:57,28
22/Apr/08,16:21:25,27
22/Apr/08,16:21:52,26
22/Apr/08,16:22:18,27
22/Apr/08,16:22:45,27
22/Apr/08,16:23:12,27
22/Apr/08,16:23:39,27
22/Apr/08,16:24:06,27
22/Apr/08,16:24:33,27
22/Apr/08,16:25:00,27
22/Apr/08,16:25:27,26
22/Apr/08,16:25:53,27
22/Apr/08,16:26:20,27
22/Apr/08,16:26:47,27
22/Apr/08,16:27:14,27
22/Apr/08,16:27:41,27
22/Apr/08,16:28:08,26
22/Apr/08,16:28:34,27
22/Apr/08,16:29:01,27
22/Apr/08,16:29:28,32
22/Apr/08,16:30:00,27
22/Apr/08,16:30:27,26
22/Apr/08,16:30:53,27
22/Apr/08,16:31:20,28
22/Apr/08,16:31:48,25
22/Apr/08,16:32:13,28
22/Apr/08,16:32:41,26
22/Apr/08,16:33:07,28
22/Apr/08,16:33:35,26
22/Apr/08,16:34:01,24
22/Apr/08,16:34:25,30
22/Apr/08,16:34:55,27
22/Apr/08,16:35:22,26
22/Apr/08,16:35:48,27
22/Apr/08,16:36:15,27
22/Apr/08,16:36:42,25
22/Apr/08,16:37:07,363
22/Apr/08,16:43:10,29
22/Apr/08,16:43:39,26
22/Apr/08,16:44:05,28
22/Apr/08,16:44:33,51
22/Apr/08,16:45:24,27
22/Apr/08,16:45:51,28
22/Apr/08,16:46:19,26
22/Apr/08,16:46:45,27
22/Apr/08,16:47:12,28
22/Apr/08,16:47:40,28
22/Apr/08,16:48:08,26
22/Apr/08,16:48:34,27
22/Apr/08,16:49:01,27
22/Apr/08,16:49:28,30
22/Apr/08,16:49:58,27
22/Apr/08,16:50:25,26
22/Apr/08,16:50:51,28
22/Apr/08,16:51:19,26
22/Apr/08,16:51:45,27
22/Apr/08,16:52:12,26
22/Apr/08,16:52:38,28
22/Apr/08,16:53:06,27
22/Apr/08,16:53:33,26
22/Apr/08,16:53:59,26
22/Apr/08,16:54:25,28
22/Apr/08,16:54:53,27
22/Apr/08,16:55:20,27
22/Apr/08,16:55:47,26
22/Apr/08,16:56:13,28
22/Apr/08,16:56:41,27
22/Apr/08,16:57:08,26
